"Strategies","left","rope","right"
"PruDent-C5.0 x BR-XGB",0,0,1
"PruDent-C5.0 x BR+-XGB",0,0,1
"PruDent-C5.0 x CC-XGB",0,0,1
"PruDent-C5.0 x DBR-XGB",0,0,1
"PruDent-C5.0 x EBR-XGB",0,0,1
"PruDent-C5.0 x ECC-XGB",0,0,1
"PruDent-C5.0 x MBR-XGB",0,0,1
"PruDent-C5.0 x NS-XGB",0,0,1
"PruDent-C5.0 x PruDent-XGB",0,0,1
"PruDent-C5.0 x RDBR-XGB",0,0,1
"RDBR-C5.0 x BR-LR",0.04,0,0.96
"RDBR-C5.0 x BR+-LR",0,0,1
"RDBR-C5.0 x CC-LR",0.01,0,0.99
"RDBR-C5.0 x DBR-LR",0,0,1
"RDBR-C5.0 x EBR-LR",0,0,1
"RDBR-C5.0 x ECC-LR",0,0,1
"RDBR-C5.0 x MBR-LR",0.01,0,0.99
"RDBR-C5.0 x NS-LR",0.03,0,0.97
"RDBR-C5.0 x PruDent-LR",0.02,0,0.98
"RDBR-C5.0 x RDBR-LR",0.01,0,0.99
"RDBR-C5.0 x BR-RF",0.32,0,0.68
"RDBR-C5.0 x BR+-RF",0.27,0,0.73
"RDBR-C5.0 x CC-RF",0.29,0,0.71
"RDBR-C5.0 x DBR-RF",0.26,0,0.74
"RDBR-C5.0 x EBR-RF",0,0,1
"RDBR-C5.0 x ECC-RF",0,0,1
"RDBR-C5.0 x MBR-RF",0.33,0,0.67
"RDBR-C5.0 x NS-RF",0.22,0,0.78
"RDBR-C5.0 x PruDent-RF",0.3,0,0.7
"RDBR-C5.0 x RDBR-RF",0.29,0,0.71
"RDBR-C5.0 x BR-SVM",0.03,0,0.97
"RDBR-C5.0 x BR+-SVM",0,0,1
"RDBR-C5.0 x CC-SVM",0.01,0,0.99
