"Strategies","left","rope","right"
"BR+-SVMt x RDBR-XGB",0.59,0.14,0.27
"BR+-XGB x CC-XGB",0.02,0.98,0
"BR+-XGB x DBR-XGB",0,1,0
"BR+-XGB x EBR-XGB",0,0,1
"BR+-XGB x ECC-XGB",0,0,1
"BR+-XGB x MBR-XGB",0,1,0
"BR+-XGB x NS-XGB",0,1,0
"BR+-XGB x PruDent-XGB",0,1,0
"BR+-XGB x RDBR-XGB",0,1,0
"CC-C5.0 x BR-LR",0,0,1
"CC-C5.0 x BR-RF",0,0,1
"CC-C5.0 x BR-SVM",0,0,1
"CC-C5.0 x BR-SVMt",0,0,1
"CC-C5.0 x BR-XGB",0,0,1
"CC-C5.0 x BR+-LR",0,0,1
"CC-C5.0 x BR+-RF",0,0,1
"CC-C5.0 x BR+-SVM",0,0,1
"CC-C5.0 x BR+-SVMt",0,0,1
"CC-C5.0 x BR+-XGB",0,0,1
"CC-C5.0 x CC-LR",0,0,1
"CC-C5.0 x CC-RF",0,0,1
"CC-C5.0 x CC-SVM",0,0,1
"CC-C5.0 x CC-SVMt",0,0,1
"CC-C5.0 x CC-XGB",0,0,1
"CC-C5.0 x DBR-C5.0",0.01,0.99,0
"CC-C5.0 x DBR-LR",0,0,1
"CC-C5.0 x DBR-RF",0,0,1
"CC-C5.0 x DBR-SVM",0,0,1
"CC-C5.0 x DBR-SVMt",0,0,1
"CC-C5.0 x DBR-XGB",0,0,1
"CC-C5.0 x EBR-C5.0",0,0,1
"CC-C5.0 x EBR-LR",0,0,1
"CC-C5.0 x EBR-RF",0,0,1
"CC-C5.0 x EBR-SVM",0,0,1
"CC-C5.0 x EBR-SVMt",0,0,1
"CC-C5.0 x EBR-XGB",0,0,1
"CC-C5.0 x ECC-C5.0",0,0,1
"CC-C5.0 x ECC-LR",0,0,1
"CC-C5.0 x ECC-RF",0,0,1
"CC-C5.0 x ECC-SVM",0,0,1
"CC-C5.0 x ECC-SVMt",0,0,1
"CC-C5.0 x ECC-XGB",0,0,1
"CC-C5.0 x MBR-C5.0",0,0.99,0.01
"CC-C5.0 x MBR-LR",0,0,1
"CC-C5.0 x MBR-RF",0,0,1
"CC-C5.0 x MBR-SVM",0,0,1
