"Strategies","left","rope","right"
"CC-LR x EBR-RF",0.12,0,0.88
"CC-LR x EBR-SVM",0,0,1
"CC-LR x EBR-SVMt",0,0,1
"CC-LR x EBR-XGB",0,0,1
"CC-LR x ECC-LR",0.02,0,0.98
"CC-LR x ECC-RF",0.09,0,0.91
"CC-LR x ECC-SVM",0,0,1
"CC-LR x ECC-SVMt",0,0,1
"CC-LR x ECC-XGB",0,0,1
"CC-LR x MBR-LR",0.16,0.75,0.09
"CC-LR x MBR-RF",1,0,0
"CC-LR x MBR-SVM",0.08,0.9,0.02
"CC-LR x MBR-SVMt",0,0.91,0.09
"CC-LR x MBR-XGB",0.06,0,0.94
"CC-LR x NS-LR",0.77,0.22,0
"CC-LR x NS-RF",0.98,0,0.02
"CC-LR x NS-SVM",0.24,0.76,0
"CC-LR x NS-SVMt",0.31,0.08,0.62
"CC-LR x NS-XGB",0.18,0,0.82
"CC-LR x PruDent-LR",0.16,0.82,0.02
"CC-LR x PruDent-RF",0.99,0,0.01
"CC-LR x PruDent-SVM",0.17,0.83,0
"CC-LR x PruDent-SVMt",0.34,0.54,0.12
"CC-LR x PruDent-XGB",0.05,0,0.95
"CC-LR x RDBR-LR",0,0.98,0.02
"CC-LR x RDBR-RF",1,0,0
"CC-LR x RDBR-SVM",0,0.98,0.02
"CC-LR x RDBR-SVMt",0.04,0.03,0.92
"CC-LR x RDBR-XGB",0.07,0,0.93
"CC-RF x BR-SVM",0.04,0,0.96
"CC-RF x BR-SVMt",0.05,0,0.95
"CC-RF x BR-XGB",0,0,1
"CC-RF x BR+-SVM",0,0,1
"CC-RF x BR+-SVMt",0.01,0,0.99
"CC-RF x BR+-XGB",0,0,1
"CC-RF x CC-SVM",0,0,1
"CC-RF x CC-SVMt",0.01,0,0.99
"CC-RF x CC-XGB",0,0,1
"CC-RF x DBR-RF",0,1,0
"CC-RF x DBR-SVM",0,0,1
"CC-RF x DBR-SVMt",0,0,1
"CC-RF x DBR-XGB",0,0,1
"CC-RF x EBR-RF",0,0,1
"CC-RF x EBR-SVM",0,0,1
"CC-RF x EBR-SVMt",0,0,1
"CC-RF x EBR-XGB",0,0,1
"CC-RF x ECC-RF",0,0,1
"CC-RF x ECC-SVM",0,0,1
"CC-RF x ECC-SVMt",0,0,1
"CC-RF x ECC-XGB",0,0,1
"CC-RF x MBR-RF",0,1,0
"CC-RF x MBR-SVM",0.02,0,0.98
"CC-RF x MBR-SVMt",0.06,0,0.94
"CC-RF x MBR-XGB",0,0,1
"CC-RF x NS-RF",0,1,0
"CC-RF x NS-SVM",0.02,0,0.98
"CC-RF x NS-SVMt",0.03,0,0.97
"CC-RF x NS-XGB",0,0,1
"CC-RF x PruDent-RF",0,1,0
"CC-RF x PruDent-SVM",0.03,0,0.97
"CC-RF x PruDent-SVMt",0.04,0,0.96
"CC-RF x PruDent-XGB",0,0,1
"CC-RF x RDBR-RF",0,1,0
"CC-RF x RDBR-SVM",0,0,1
"CC-RF x RDBR-SVMt",0,0,1
