"Strategies","left","rope","right"
"BR+-SVMt x PruDent-XGB",0.28,0.22,0.5
"BR+-SVMt x RDBR-SVMt",0,1,0
"BR+-SVMt x RDBR-XGB",0.66,0.15,0.18
"BR+-XGB x CC-XGB",0.13,0.87,0
"BR+-XGB x DBR-XGB",0,1,0
"BR+-XGB x EBR-XGB",0,0.07,0.92
"BR+-XGB x ECC-XGB",0.03,0.07,0.9
"BR+-XGB x MBR-XGB",0.43,0.54,0.03
"BR+-XGB x NS-XGB",0,1,0
"BR+-XGB x PruDent-XGB",0,0.99,0.01
"BR+-XGB x RDBR-XGB",0,1,0
"CC-C5.0 x BR-LR",0,0,1
"CC-C5.0 x BR-RF",0,0,1
"CC-C5.0 x BR-SVM",0,0,1
"CC-C5.0 x BR-SVMt",0,0,1
"CC-C5.0 x BR-XGB",0,0,1
"CC-C5.0 x BR+-LR",0,0,1
"CC-C5.0 x BR+-RF",0,0,1
"CC-C5.0 x BR+-SVM",0,0,1
"CC-C5.0 x BR+-SVMt",0,0,1
"CC-C5.0 x BR+-XGB",0,0,1
"CC-C5.0 x CC-LR",0,0,1
"CC-C5.0 x CC-RF",0,0,1
"CC-C5.0 x CC-SVM",0,0,1
"CC-C5.0 x CC-SVMt",0,0,1
"CC-C5.0 x CC-XGB",0,0,1
"CC-C5.0 x DBR-C5.0",0.24,0.75,0.01
"CC-C5.0 x DBR-LR",0,0,1
"CC-C5.0 x DBR-RF",0,0,1
"CC-C5.0 x DBR-SVM",0,0,1
"CC-C5.0 x DBR-SVMt",0,0,1
"CC-C5.0 x DBR-XGB",0,0,1
"CC-C5.0 x EBR-C5.0",0,0,1
"CC-C5.0 x EBR-LR",0,0,1
"CC-C5.0 x EBR-RF",0,0,1
"CC-C5.0 x EBR-SVM",0,0,1
"CC-C5.0 x EBR-SVMt",0,0,1
"CC-C5.0 x EBR-XGB",0,0,1
"CC-C5.0 x ECC-C5.0",0,0,1
"CC-C5.0 x ECC-LR",0,0,1
"CC-C5.0 x ECC-RF",0,0,1
"CC-C5.0 x ECC-SVM",0,0,1
"CC-C5.0 x ECC-SVMt",0,0,1
"CC-C5.0 x ECC-XGB",0,0,1
"CC-C5.0 x MBR-C5.0",0.12,0.88,0
"CC-C5.0 x MBR-LR",0,0,1
"CC-C5.0 x MBR-RF",0,0,1
"CC-C5.0 x MBR-SVM",0,0,1
"CC-C5.0 x MBR-SVMt",0,0,1
"CC-C5.0 x MBR-XGB",0,0,1
"CC-C5.0 x NS-C5.0",0,0.95,0.05
"CC-C5.0 x NS-LR",0,0,1
"CC-C5.0 x NS-RF",0,0,1
"CC-C5.0 x NS-SVM",0,0,1
"CC-C5.0 x NS-SVMt",0,0,1
"CC-C5.0 x NS-XGB",0,0,1
"CC-C5.0 x PruDent-C5.0",0.01,0.13,0.87
"CC-C5.0 x PruDent-LR",0,0,1
"CC-C5.0 x PruDent-RF",0,0,1
"CC-C5.0 x PruDent-SVM",0,0,1
"CC-C5.0 x PruDent-SVMt",0,0,1
"CC-C5.0 x PruDent-XGB",0,0,1
"CC-C5.0 x RDBR-C5.0",0.38,0.61,0.02
"CC-C5.0 x RDBR-LR",0,0,1
"CC-C5.0 x RDBR-RF",0,0,1
"CC-C5.0 x RDBR-SVM",0,0,1
"CC-C5.0 x RDBR-SVMt",0,0,1
"CC-C5.0 x RDBR-XGB",0,0,1
"CC-LR x BR-RF",0.01,0,0.99
"CC-LR x BR-SVM",0,0.59,0.4
"CC-LR x BR-SVMt",0.09,0.05,0.87
"CC-LR x BR-XGB",0.18,0.23,0.59
"CC-LR x BR+-RF",0.05,0,0.95
"CC-LR x BR+-SVM",0,1,0
"CC-LR x BR+-SVMt",0.49,0.25,0.26
"CC-LR x BR+-XGB",0.66,0.08,0.26
"CC-LR x CC-RF",0.02,0,0.97
"CC-LR x CC-SVM",0,1,0
"CC-LR x CC-SVMt",0.03,0.95,0.02
"CC-LR x CC-XGB",0.89,0,0.1
"CC-LR x DBR-LR",0,1,0
"CC-LR x DBR-RF",0.03,0,0.97
"CC-LR x DBR-SVM",0,1,0
"CC-LR x DBR-SVMt",0.4,0.35,0.25
"CC-LR x DBR-XGB",0.62,0.15,0.23
"CC-LR x EBR-LR",1,0,0
"CC-LR x EBR-RF",0.31,0,0.69
"CC-LR x EBR-SVM",0.83,0.06,0.11
"CC-LR x EBR-SVMt",0.62,0.04,0.34
"CC-LR x EBR-XGB",0.03,0.47,0.49
"CC-LR x ECC-LR",1,0,0
"CC-LR x ECC-RF",0.46,0.01,0.54
"CC-LR x ECC-SVM",0.72,0.21,0.07
"CC-LR x ECC-SVMt",0.66,0.05,0.28
"CC-LR x ECC-XGB",0.2,0.16,0.65
"CC-LR x MBR-LR",0.03,0.72,0.25
"CC-LR x MBR-RF",0.02,0,0.98
"CC-LR x MBR-SVM",0.01,0.96,0.02
"CC-LR x MBR-SVMt",0.47,0.38,0.14
"CC-LR x MBR-XGB",0.72,0.06,0.22
"CC-LR x NS-LR",0,0.7,0.3
"CC-LR x NS-RF",0.02,0,0.98
"CC-LR x NS-SVM",0,0.64,0.36
