"Strategies","left","rope","right"
"BR+-RF x BR+-XGB",1,0,0
"BR+-RF x CC-RF",0,1,0
"BR+-RF x CC-SVM",0.88,0.03,0.09
"BR+-RF x CC-SVMt",0.91,0.01,0.08
"BR+-RF x CC-XGB",0.99,0,0.01
"BR+-RF x DBR-RF",0,1,0
"BR+-RF x DBR-SVM",0.84,0.08,0.08
"BR+-RF x DBR-SVMt",0.97,0,0.03
"BR+-RF x DBR-XGB",0.99,0,0.01
"BR+-RF x EBR-RF",1,0,0
"BR+-RF x EBR-SVM",1,0,0
"BR+-RF x EBR-SVMt",1,0,0
"BR+-RF x EBR-XGB",1,0,0
"BR+-RF x ECC-RF",1,0,0
"BR+-RF x ECC-SVM",1,0,0
"BR+-RF x ECC-SVMt",1,0,0
"BR+-RF x ECC-XGB",1,0,0
"BR+-RF x MBR-RF",0,0.98,0.02
"BR+-RF x MBR-SVM",0.59,0.16,0.25
"BR+-RF x MBR-SVMt",0.91,0,0.09
"BR+-RF x MBR-XGB",0.95,0.01,0.04
"BR+-RF x NS-RF",0,0.99,0.01
"BR+-RF x NS-SVM",0.72,0.02,0.26
"BR+-RF x NS-SVMt",0.94,0,0.06
"BR+-RF x NS-XGB",0.98,0,0.02
"BR+-RF x PruDent-RF",0,0.98,0.01
"BR+-RF x PruDent-SVM",0.63,0.07,0.3
"BR+-RF x PruDent-SVMt",0.42,0.14,0.44
"BR+-RF x PruDent-XGB",0.96,0.02,0.02
"BR+-RF x RDBR-RF",0,1,0
"BR+-RF x RDBR-SVM",0.88,0.04,0.08
"BR+-RF x RDBR-SVMt",0.92,0.01,0.07
"BR+-RF x RDBR-XGB",0.99,0,0.01
"BR+-SVM x BR-SVMt",0.17,0.27,0.56
"BR+-SVM x BR-XGB",0.74,0.07,0.2
"BR+-SVM x BR+-SVMt",0.55,0.35,0.1
"BR+-SVM x BR+-XGB",0.93,0,0.07
"BR+-SVM x CC-SVM",0,1,0
"BR+-SVM x CC-SVMt",0.44,0.33,0.23
