"Strategies","left","rope","right"
"BR+-SVM x NS-XGB",0.16,0,0.84
"BR+-SVM x PruDent-SVM",0.24,0.25,0.5
"BR+-SVM x PruDent-SVMt",0.5,0.21,0.29
"BR+-SVM x PruDent-XGB",0.12,0,0.88
"BR+-SVM x RDBR-SVM",0,1,0
"BR+-SVM x RDBR-SVMt",0.27,0.15,0.59
"BR+-SVM x RDBR-XGB",0.1,0,0.9
"BR+-SVMt x BR-XGB",0.15,0.02,0.83
"BR+-SVMt x BR+-XGB",0.38,0.03,0.59
"BR+-SVMt x CC-SVMt",0,0.91,0.09
"BR+-SVMt x CC-XGB",0.25,0.02,0.73
"BR+-SVMt x DBR-SVMt",0.03,0.95,0.01
"BR+-SVMt x DBR-XGB",0.47,0.02,0.51
"BR+-SVMt x EBR-SVMt",0.91,0.01,0.08
"BR+-SVMt x EBR-XGB",0.44,0.02,0.54
"BR+-SVMt x ECC-SVMt",0.9,0.03,0.06
"BR+-SVMt x ECC-XGB",0.26,0.06,0.68
"BR+-SVMt x MBR-SVMt",0.02,0.92,0.06
"BR+-SVMt x MBR-XGB",0.13,0.01,0.86
"BR+-SVMt x NS-SVMt",0.06,0.61,0.33
"BR+-SVMt x NS-XGB",0.28,0.04,0.68
"BR+-SVMt x PruDent-SVMt",0.33,0.31,0.37
"BR+-SVMt x PruDent-XGB",0.14,0.02,0.84
"BR+-SVMt x RDBR-SVMt",0.01,0.9,0.08
"BR+-SVMt x RDBR-XGB",0.21,0.02,0.77
"BR+-XGB x CC-XGB",0,0.79,0.21
"BR+-XGB x DBR-XGB",0,1,0
"BR+-XGB x EBR-XGB",0.18,0.81,0.02
"BR+-XGB x ECC-XGB",0.38,0.28,0.33
"BR+-XGB x MBR-XGB",0.05,0.34,0.61
"BR+-XGB x NS-XGB",0.01,0.91,0.08
"BR+-XGB x PruDent-XGB",0.05,0.5,0.45
"BR+-XGB x RDBR-XGB",0,1,0
"CC-C5.0 x BR-LR",0,0,1
"CC-C5.0 x BR-RF",0,0,1
"CC-C5.0 x BR-SVM",0,0,1
"CC-C5.0 x BR-SVMt",0,0,1
"CC-C5.0 x BR-XGB",0,0,1
"CC-C5.0 x BR+-LR",0,0,1
"CC-C5.0 x BR+-RF",0,0,1
"CC-C5.0 x BR+-SVM",0,0,1
"CC-C5.0 x BR+-SVMt",0,0,1
"CC-C5.0 x BR+-XGB",0,0,1
"CC-C5.0 x CC-LR",0,0,1
"CC-C5.0 x CC-RF",0,0,1
"CC-C5.0 x CC-SVM",0,0,1
"CC-C5.0 x CC-SVMt",0,0,1
"CC-C5.0 x CC-XGB",0,0,1
"CC-C5.0 x DBR-C5.0",0.03,0.97,0
"CC-C5.0 x DBR-LR",0,0,1
"CC-C5.0 x DBR-RF",0,0,1
"CC-C5.0 x DBR-SVM",0,0,1
"CC-C5.0 x DBR-SVMt",0,0,1
"CC-C5.0 x DBR-XGB",0,0,1
"CC-C5.0 x EBR-C5.0",0,0,1
"CC-C5.0 x EBR-LR",0,0,1
"CC-C5.0 x EBR-RF",0,0,1
"CC-C5.0 x EBR-SVM",0,0,1
"CC-C5.0 x EBR-SVMt",0,0,1
"CC-C5.0 x EBR-XGB",0,0,1
"CC-C5.0 x ECC-C5.0",0,0,1
"CC-C5.0 x ECC-LR",0,0,1
"CC-C5.0 x ECC-RF",0,0,1
"CC-C5.0 x ECC-SVM",0,0,1
"CC-C5.0 x ECC-SVMt",0,0,1
"CC-C5.0 x ECC-XGB",0,0,1
"CC-C5.0 x MBR-C5.0",0,0.99,0.01
"CC-C5.0 x MBR-LR",0,0,1
"CC-C5.0 x MBR-RF",0,0,1
"CC-C5.0 x MBR-SVM",0,0,1
"CC-C5.0 x MBR-SVMt",0,0,1
"CC-C5.0 x MBR-XGB",0,0,1
"CC-C5.0 x NS-C5.0",0,0.7,0.3
"CC-C5.0 x NS-LR",0,0,1
"CC-C5.0 x NS-RF",0,0,1
"CC-C5.0 x NS-SVM",0,0,1
"CC-C5.0 x NS-SVMt",0,0,1
